Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
Session-based Testing | Approach (Hamburg and Mogyorodi, 2024) | Testing "in which test activities are planned as test sessions" (Hamburg and Mogyorodi, 2024), potentially based on navigation models or logs (Doğan et al., 2014, Tab. 22) | Web Application Testing (Doğan et al., 2014, Tab. 22) |  | 
Shoe Testing (Firesmith, 2015, p. 51) | Technique? |  | Random Testing (Firesmith, 2015, p. 51) |  | 
Shutdown Built-In Testing (Firesmith, 2015, p. 31) | Practice? |  | Built-In Testing (Firesmith, 2015, p. 31) | SBIT (Firesmith, 2015, p. 31) | 
Sign Change Coverage (Testing?) | Approach | Testing of "the coverage of neurons activated with both positive and negative activation values in a neural network for a set of tests" (Hamburg and Mogyorodi, 2024) | ML Model Testing |  | 
Sign-Sign Coverage (Testing?) | Approach | Testing of "the coverage achieved if by changing the sign of each neuron it can be shown to individually cause one neuron in the next layer to change sign while all other neurons in the next layer do not change sign for a set of tests" (Hamburg and Mogyorodi, 2024) | ML Model Testing |  | See ISO 29119-11
Similarity-based Prioritization Testing | Practice? | Testing that prioritizes test cases "starting from those most dissimilar according to a predefined distance function" (Washizaki, 2024, p. 5-8) | Prioritization Testing (Washizaki, 2024, p. 5-8) |  | 
Single-Hit Decision Table | Technique (inferred from decision table testing) | Testing "based on exercising decision rules" (IEEE, 2022, p. 4) in a single-hit decision table (IEEE, 2017, p. 415; OG ISO, 1984) | Decision Table Testing (IEEE, 2017, p. 175; OG ISO, 1984) |  | 
Site Acceptance Testing | Level (Firesmith, 2015, p. 30; inferred from acceptance testing) | "Acceptance testing by users/customers at their site, [sic] to determine whether or not a component or system satisfies the user/customer needs and fits within the business processes" (Kam, 2008, p. 47) | Acceptance Testing (Firesmith, 2015, p. 30; Kam, 2008, p. 47) | SAT (Firesmith, 2015, p. 30) | "Normally includ[es] hardware as well as software" (Kam, 2008, p. 47)
Slicing? (Kam, 2008, Tab. 1) | Approach |  |  |  | 
Smoke Testing | Technique (Washizaki, 2024, p. 5-14) | A subset of all testing (Kam, 2008, p. 47) that "ensures that the SUT's core functionalities behave properly" (Washizaki, 2024, p. 5-14; similar in Kam, 2008, p. 47) or testing that "the SUT is operational before the planned testing begins" (Washizaki, 2024, p. 5-14; similar in Hamburg and Mogyorodi, 2024) | Ad Hoc Testing, Quick Testing (Washizaki, 2024, p. 5-14), Unscripted Testing (implied by Washizaki, 2024, p. 5-14 and Hamburg and Mogyorodi, 2024), Integration Testing (Sharma et al., 2021, p. 603), Automated Testing (often) (Gerrard, 2000a, p. 13), Offline Testing? | Build Verification Testing (Washizaki, 2024, p. 5-14), Sanity Testing (Hamburg and Mogyorodi, 2024), Intake Testing (Hamburg and Mogyorodi, 2024), Confidence Testing (Hamburg and Mogyorodi, 2024) | Should be prioritized in the presence of "severe time pressure" (Gerrard, 2000a, p. 13). "Prevents failures because of the test environment" (Washizaki, 2024, p. 5-14). Seems to be implied to be the responsibility of DevOps (Washizaki, 2024, p. 6-9)
SOA Testing (Doğan et al., 2014, Tab. 1) | Approach |  |  |  | See Palacios et al., (2011) and Mesbah and Prasad (2011)
Software Design Audits | Practice? (inferred from audits) | "Review[s] of … software product[s] to determine compliance with requirements, standards, and contractual documents" (IEEE, 2017, p. 420) | Audits, Reviews (IEEE, 2017, p. 420) |  | Is this specific to the software's design, or to the software itself?
Software Qualification Testing | Level? | "Testing performed on completed, integrated software to provide evidence for compliance with software requirements" (Hamburg and Mogyorodi, 2024) | Safety Testing (implied by Knüvener Mackert GmbH, 2022, pp. 36-37), System Testing?, Dynamic Testing? |  | Difference between this and system testing?
Software-in-the-Loop Testing (Firesmith, 2015, p. 23) | Level (implied by system testing) | "Testing performed using real software in a simulated environment or with experimental hardware" (Hamburg and Mogyorodi, 2024) | System Testing (Firesmith, 2015, p. 23), Formal Testing (Preuße et al., 2012, p. 3), Dynamic Testing (Hamburg and Mogyorodi, 2024), Integration Testing? (Knüvener Mackert GmbH, 2022, p. 153) | SiL Testing (Hamburg and Mogyorodi, 2024; Preuße et al., 2012, p. 3), SIL Testing (Firesmith, 2015, p. 23), SiL Verification? (Preuße et al., 2012, p. 7) | Used by "the scientific community" and is "vendor- and hardware-independent" (Preuße et al., 2012, p. 2)
SoS Integration Testing (Firesmith, 2015, p. 23) | Level (implied by system testing) |  | System Testing (Firesmith, 2015, p. 23), Integration Testing |  | 
SoS Testing (Firesmith, 2015, p. 23) | Level (implied by system testing) |  | System Testing (Firesmith, 2015, p. 23) |  | 
Specification-based Testing | Technique (IEEE, 2022, p. 22; 2021, p. 8; Washizaki, 2024, p. 5-10; Hamburg and Mogyorodi, 2024; Souza et al., 2017, p. 3; Firesmith, 2015, p. 46; implied by IEEE, 2022, pp. 2-4, 6-9) | "Testing in which the principal test basis is the external inputs and outputs of the test item" (IEEE, 2022, p. 9; 2017, p. 431) or its "requirements, specifications, models [and/]or user needs" (2021, p. 8) that "select[s] a few test cases from the input domain that can detect specific categories of faults" (Washizaki, 2024, pp. 5-10 to 5-11) | Dynamic Testing (IEEE, 2022, p. 17; Sharma et al., 2021, Fig. 1), Model-based Testing? (IEEE, 2022, p. 13; 2021, p. 6) | Black-Box Testing (IEEE, 2022, p. 9; 2021, p. 8; 2017, p. 431; Washizaki, 2024, p. 5-10; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 46 (without hyphen); van Vliet, 2000, p. 399), Domain Testing (Washizaki, 2024, p. 5-10), Closed-Box Testing (IEEE, 2022, p. 9; 2017, p. 431), Input Domain-Based Testing (implied by Bourque and Fairley, 2014, p. 4-8), Functional Testing (van Vliet, 2000, p. 399; implied by IEEE, 2017, p. 431) | Should be done before structure-based testing to avoid bias towards "test cases based on how the module works" (Patton, 2006, p. 113). Difference between this and functional testing (van Vliet, 2000, p. 399; IEEE, 2017, p. 431; Souza et al., 2017, p. 3)? Umar (2020) has more synonyms
Spike Testing | Approach | "Testing to determine the ability of a system to recover from sudden bursts of peak loads and return to a steady state" (Hamburg and Mogyorodi, 2024) |  |  | 
Spiral Testing | Practice? | Testing "performed iteratively until the software is complete" alongside other phases of development (IEEE, 2017, p. 432) | Lifecycle-based Testing (Washizaki, 2024, p. 10-5; OG [2, 3, 10]), Risk-based Testing? (Washizaki, 2024, p. 10-6; OG [3]), Continuous Testing |  | 
SQL Injection | Approach | "A type of code injection in the structured query language (SQL)" (Hamburg and Mogyorodi, 2024) | Code Injection (Hamburg and Mogyorodi, 2024) |  | 
Stability Testing (Firesmith, 2015, p. 55) | Type (implied by its quality (IEEE, 2017, p. 434; OG ISO/IEC, 2009) and Firesmith, 2015, p. 55) | Testing a "property that an object has with respect to a given failure mode if it cannot exhibit that failure mode" (IEEE, 2017, p. 434; OG ISO/IEC, 2009) | Build Verification Testing (Hamburg and Mogyorodi, 2024), Reliability Testing? (Firesmith, 2015, p. 55), Modifiability Testing (if it exists) (ISO/IEC, 2023a) |  | Example: endurance stability testing (Firesmith, 2015, p. 55)
State Testing? (implied by IEEE, 2021, p. 19; Doğan et al., 2014, p. 184) | Technique (inferred from state transition testing and IEEE, 2021, p. 19) | Testing in which "all states in the state model … [are] 'visited'" (IEEE, 2021, p. 19) | Model-based Testing (IEEE, 2021, p. 19; Doğan et al., 2014, p. 184), State Transition Testing (IEEE, 2021, p. 19) | All States Testing? (Kam, 2008, p. 15; implied by IEEE, 2021, p. 19) | 
State Transition Testing | Technique (IEEE, 2022, pp. 9, 22; 2021, p. 5, Fig. 2; Washizaki, 2024, p. 5-12; Hamburg and Mogyorodi, 2024) | Testing based on "a model of the states the test item can occupy, the transitions between states, the events which cause transitions and the actions that can result from the transitions" (IEEE, 2021, p. 19) | Specification-based Testing (IEEE, 2022, pp. 9, 22; 2021, p. 5, Fig. 2; Washizaki, 2024, p. 5-12; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1; Firesmith, 2015, p. 47?), Model-based Testing (IEEE, 2022, pp. 9, 13; 2021, ppp. 6, 10, 19; Bourque and Fairley, 2014, p. 4-10; implied by Hamburg and Mogyorodi, 2024 and Doğan et al., 2014, pp. 179, 184), Web Application Testing (Doğan et al., 2014, p. 179), Closed-Loop Testing (Preuße et al., 2012, p. 6), Open-Loop Testing? | Finite State Testing (Hamburg and Mogyorodi, 2024), Finite-State Machine (FSM) Testing (implied by Doğan et al., 2014, p. 179), Model Edge Testing?, Model Transition Testing? (implied by Doğan et al., 2014, p. 184), State-based Testing? (Firesmith, 2015, p. 47), All Transitions Testing? (Kam, 2008, p. 15) | Examples of state models include state tables (IEEE, 2022, p. 9; 2021, pp. 5, 19), state [transition (2022, p. 9; 2021, pp. 5, 19)] diagrams (2017, p. 438), and finite-state machines (Washizaki, 2024, p. 5-12); their states should be "discrete, identifiable and finite in number" (IEEE, 2021, p. 19). See BS 7925-2; Chow, 1978; Patton, 2006, pp. 79-87
State-based Web Browser Testing | Technique (Doğan et al., 2014, p. 193) |  | Web Application Testing (Kam, 2008, Tab. 1, p. 11), Formal Methods, Specification-based Testing, Control Flow Testing, Functional Testing (Tab. 1), State Transition Testing (p. 15), Transaction (Flow) Testing/Verification (p. 16) | State-based Testing (Doğan et al., 2014, p. 193), Web Browser Testing (Kam, 2008, pp. 14-15), Statechart Testing? (implied by Kam, 2008, Tab. 1, p. 11) | "Needs to be integrated with another testing method"  (Kam, 2008, p. 15) and "can test whether or not there are any side effects caused by users using the back, forward, and refresh/reload control buttons to navigate the website" (pp. 15-16) although "the reload path branches [are often pruned] to eliminate redundancy", which overlooks "the security of time sensitive [sic] expiration pages" (p. 16). See Di Lucca et al., [22, 23]
Statement Testing | Technique (IEEE, 2022, pp. 9, 22; 2021, p. 5, Fig. 2; 2017, p. 438; Washizaki, 2024, p. 5-13; Hamburg and Mogyorodi, 2024) | Testing "based on exercising executable statements" (IEEE, 2022, p. 9; 2021, p. 5; similar in Kam, 2008, p. 48) by "forc[ing the] execution of individual statements in a test item" (IEEE, 2017, p. 439; OG IEEE, 2013) | Structure-based Testing (IEEE, 2022, p. 22; 2021, p. 5, Fig. 2; Hamburg and Mogyorodi, 2024; Sharma et al., 2021, Fig. 1), Automated Testing (can be supported with "statement coverage analysers"; IEEE, 2021, p. 10), Control Flow Testing (Washizaki, 2024, p. 5-13; Firesmith, 2015, p. 49) | Line Testing, Node Testing (implied by Doğan et al., 2014, Tab. 11), All-Nodes Testing (van Vliet, 2000, p. 421) | 
Static Analysis | Approach | The "process of evaluating a system or component based on its form, structure, content, or documentation" (IEEE, 2017, p. 439) that "involves the use of tools to detect anomalies in code or documents without execution" (IEEE, 2022, p. 18) | Static Testing (IEEE, 2022, pp. 9, 17, 25, 28; Hamburg and Mogyorodi, 2024; Gerrard, 2000a, Fig. 4, p. 12; 2000b, p. 3), W-Model Testing (Gerrard, 2000a, Fig. 4), Developer Testing (implied by Lahiri et al., 2013, p. 345) |  | See also ISO/IEC 20246
Static Assertion Checking (Lahiri et al., 2013, p. 345) | Practice? | The use of "logical techniques … to prove, before runtime, that no violations of [separation logic] specifications will take place at runtime" (Chalin et al., 2006, p. 343) | Assertion Checking, Static Analysis (Lahiri et al., 2013, p. 345; Chalin et al., 2006, p. 343), Specification-based Testing? | Static Verification (SV) (Chalin et al., 2006, p. 343), SAC? | Often limited by "the need to define a[ "fairly complete" (Chalin et al., 2006, p. 343)] assertion (or specification) to check, to provide environment specifications and to provide auxiliary invariants for loops and procedures" (Lahiri et al., 2013, p. 345), but "often provides stronger guarantees and … can give them earlier" than RAC (Chalin et al., 2006, p. 343)
Static Testing | Approach | "Testing in which a test item is examined against a set of quality or other criteria without the test item being executed" (IEEE, 2022, p. 9; 2017, p. 440; OG 2013) | W-Model Testing (Gerrard, 2000a, p. 9) | Static Verification? (implied by Chalin et al., 2006, p. 343) | "Helps form an optimal test strategy" (IEEE, 2022, p. 21), "can be performed anywhere in the life cycle" (IEEE, 2022, p. 17), including "prior to dynamic testing[,] and can find defects before test execution becomes possible" (IEEE, 2022, p. 21). Not always considered "testing" (Washizaki, 2024, p. 5-2). See also ISO/IEC 20246
Statistical Testing | Technique (Kam, 2008, pp. 23, 48) | Testing "in which a model of the statistical distribution of the input is used to construct representative test cases" (Kam, 2008, p. 48) | Usage-based Testing (Washizaki, 2024, p. 5-15), Model-based Testing |  | "Often provide[s] a snapshot of the more troublesome areas of the software product under examination" (Washizaki, 2024, p. 12-8). "Usage-based statistical testing is applied more during the acceptance testing stage" (Washizaki, 2024, p. 5-15); how to track this? Implied to be related to random testing (Washizaki, 2024, p. 5-15)
Stress Testing | Type (IEEE, 2022, pp. 9, 22; 2017, p. 442; implied by Firesmith, 2015, p. 54) | Testing of "the SUT [at or (Hamburg and Mogyorodi, 2024)] beyond its capabilities" (Washizaki, 2024, p. 5-9) by "providing extreme test conditions to find the performance breaking points" by "manipulating … factors affecting the performance" (Moghadam, 2019, p. 1187); for example, "load[s] greater than what the system is expected to handle" (Washizaki, 2024, p. 5-9) or insufficient resource availability (IEEE, 2022, p. 9; 2017, p. 442; OG 2013), "such as access to memory or servers" (Hamburg and Mogyorodi, 2024) | Non-functional Testing (Washizaki, 2024, p. 5-9), Performance Efficiency Testing (IEEE, 2022, p. 9; 2017, p. 442), Performance Testing (Hamburg and Mogyorodi, 2024; Moghadam, 2019, p. 1187; Gerrard, 2000b, p. 23; implied by IEEE, 2022, p. 22), Capacity Testing (Firesmith, 2015, p. 54), Boundary Condition Testing (Patton, 2006, p. 86; implied by IEEE, 2017, p. 442), Dynamic Testing, W-Model Testing (Gerrard, 2000a, Fig. 5) |  | Can be generated "based on source code or system model analysis, or use-case based design approaches"; issues emerge from "performance bottlenecks" resulting from "application-, platform-, … [or]  workload-wise causes" (Moghadam, 2019, p. 1187)
Structure-based Testing | Technique (IEEE, 2021, p. 8; Washizaki, 2024, pp. 5-10, 5-13; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 46; implied by IEEE, 2022, pp. 2, 4, 6, 9) | Testing "derived from an examination of the structure[, internal contents or implementation (IEEE, 2017, p. 199)] of the test item" (IEEE, 2022, p. 9; similar in 2021, p. 8) | Model-based Testing (IEEE, 2022, p. 13; 2021, pp. 6, 10), Dynamic Testing (IEEE, 2022, pp. 9, 17; 2017, p. 444; Washizaki, 2024, p. 5-13; Sharma et al., 2021, Fig. 1), Control Flow Testing (normally) (IEEE, 2021, p. 10), Automated Testing (can be supported with "statement coverage analysers"; IEEE, 2021, p. 10), Static Testing (likely when supported by tools (IEEE, 2021, p. 10); Washizaki, 2024, p. 5-13) | White-Box Testing (IEEE, 2022, p. 9; 2021, p. 8; 2017, pp. 443-444; Washizaki, 2024, p. 5-10; Hamburg and Mogyorodi, 2024; Firesmith, 2015, p. 46 (without hyphen); Patton, 2006, p. 55), Glass-Box Testing (IEEE, 2022, p. 9; 2017, pp. 443-444; Washizaki, 2024, p. 5-10; Hamburg and Mogyorodi, 2024; Peters and Pedrycz, 2000, p. 439), Structural Testing (IEEE, 2022, p. 9; 2017, pp. 443-444; Hamburg and Mogyorodi, 2024), Code-based Testing (Washizaki, 2024, p. 5-13; Bourque and Fairley, 2014, p. 4-8; Kam, 2008, p. 43), Clear-Box Testing (IEEE, 2021, p. 8; Washizaki, 2024, p. 5-10; Hamburg and Mogyorodi, 2024; Patton, 2006, p. 55) | "Can be performed at different levels (such as code development, code inspection, or unit testing)" (Washizaki, 2024, p. 5-13). Hamburg and Mogyorodi (2024), Umar (2020), and Kam (2008) have more synonyms; it seems like "structure-based testing" is specific to dynamic testing (IEEE, 2017, p. 444) but "structural testing" isn't (p. 443)
Structured Scripting | Technique? (Hamburg and Mogyorodi, 2024) | "Scripting … that builds and utilizes a library of reusable (parts of) scripts" (Hamburg and Mogyorodi, 2024) | Scripted Testing |  | 
Structured Walkthroughs | Practice? | "Systematic examination[s] of the requirements, design, or implementation of a system, or any part of it, by qualified personnel" (IEEE, 2017, p. 444; OG ISO/IEC, 2015) | Walkthroughs, Static Testing |  | 
Stuck Key Testing (Firesmith, 2015, p. 51) | Technique? |  | Random Testing (Firesmith, 2015, p. 51) |  | 
Subcontractor Testing (Firesmith, 2015, p. 37) | Practice? |  | Development Organization Testing (Firesmith, 2015, p. 37) |  | 
Subsystem Testing (Firesmith, 2015, p. 23) | Level (implied by system testing) |  | System Testing (Firesmith, 2015, p. 23), Unit Testing? (seems incorrect) (implied by Firesmith, 2015, p. 28) | Subsystem-based Testing? (Firesmith, 2015, p. 28) | 
Summative Evaluation(s) | Approach | "Evaluation[s] designed and used to gather conclusions about the quality of a component or system, especially when a substantial part of it has completed design" (Hamburg and Mogyorodi, 2024) | System Testing? |  | 
Symbolic Execution | Technique (IEEE, 2017, p. 451) | Testing "in which program execution is simulated using symbols … and program outputs are expressed as logical or mathematical expressions involving these symbols" (IEEE, 2017, p. 451) | Static Testing, Static Analysis?, Correctness Testing? |  | See Păsăreanu and Visser (2009)
Synchronous Testing (Jard et al., 1999) | Practice? | Testing that occurs in real time, so that, for example, "an IUT can refuse an event and … the tester can observe the refusal" (Jard et al., 1999, p. 26; OG [1]) |  |  | Sometimes possible to make asynchronous (e.g., by using "logical stamps" (Jard et al., 1999, p. 25), which are "simple counting mechanism[s]" (p. 27)) but this transformation is "a difficult task" (p. 26)
Syntax Testing | Technique (IEEE, 2022, p. 22; 2021, p. 5, Fig. 2; Washizaki, 2024, p. 5-11; Kam, 2008, p. 48) | Testing based on "rules, where each rule defines the format of an input parameter in terms of 'sequences of', 'iterations of', or 'selections between' elements in the syntax", which "may be represented in a textual or diagrammatic format" (IEEE, 2021, p. 14) | Specification-based Testing (IEEE, 2022, p. 22; 2021, p. 5, Fig. 2; Washizaki, 2024, p. 5-11; Firesmith, 2015, p. 47; Kam, 2008, p. 48), Model-based Testing (IEEE, 2022, p. 13; 2021, pp. 6, 14; implied by Bourque and Fairley, 2014, p. 4-10), Formal Testing, Positive Testing, Negative Testing, Experience-based Testing (for the negative version) (IEEE, 2021, p. 14), One-to-One Testing, Minimized Testing (can be; p. 15), Static Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1; implied by Washizaki, 2024, p. 1-10), Smoke Testing, Desktop Development Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Functional Testing? (Washizaki, 2024, p. 5-11), Gray-Box Testing? (Patton, 2006, p. 220), Web Application Testing (implied by Kam, 2008, p. 9; Gerrard, 2000b, pp. 3-5) | Formal Specification-Based Testing (Washizaki, 2024, p. 5-11) | "Permits automatic derivation of functional test cases[,] … provides an oracle for checking test results" (Washizaki, 2024, p. 5-11); positive inputs are called "options" and negative ones are "mutations" (IEEE, 2021, p. 14). "Permit[s] desired properties of the specified software to be proved" (Washizaki, 2024, p. 1-10). Test cases can be generated from these formal requirements (e.g., BDD scenarios and state models), but "determining an expected result is not always possible" and may require "additional business domain expertise" (p. 1-20). "Backus-Naur Form is commonly used for defining the syntax of test item inputs" (IEEE, 2021, p. 5) "in a textual format", and "abstract syntax tree[s] can be used to represent formal syntax diagrammatically" (p. 14). See also Beizer 1995; Burnstein 2003; Peters and Pedrycz, 2000, pp. 448-449; and Intana et al., 2020, p. 260
Sys Admin Testing (Firesmith, 2015, p. 39) | Practice? |  | Operator Testing (Firesmith, 2015, p. 39) |  | 
System Integration Testing | Level (IEEE, 2022, pp. 12, 22; 2021, p. 6; Hamburg and Mogyorodi, 2024) | Testing the "progressive assembling of system components into the whole system" (IEEE, 2017, p. 454; OG ISO/IEC, 2015), including between packages and "external organizations (e.g. [sic] Electronic Data Interchange, Internet)" (Kam, 2008, p. 48) | Integration Testing (Hamburg and Mogyorodi, 2024), System Testing (Firesmith, 2015, p. 23) |  | 
System Qualification Testing | Level? | "Testing performed on the completed, integrated system of software components, hardware components, and mechanics to provide evidence for compliance with system requirements and that the complete system is ready for delivery" (Hamburg and Mogyorodi, 2024) | System Testing?, Dynamic Testing? | System Testing? | Difference between this and system testing?
System Testing | Level (IEEE, 2022, pp. 12, 20-22, 26-27; 2021, p. 6; 2017, p. 467; Washizaki, 2024, p. 5-7; Hamburg and Mogyorodi, 2024) | "Testing conducted on a complete, integrated system to evaluate [its] compliance with its specified requirements" (IEEE, 2017, p. 456; OG 2012; similar in Hamburg and Mogyorodi, 2024), usually in regards to "non-functional system requirements", and verify its behaviour (Washizaki, 2024, p. 5-7). | V-Model Testing (Gerrard, 2000a, p. 9), W-Model Testing (Gerrard, 2000a, Figs. 3-5), Dynamic Testing (Gerrard, 2000a, p. 9) |  | Can be supported for distributed systems by "conventional capture/replay and database editing tools" (Sneed and Göschl, 2000, p. 18; OG Beizer95). See Hetzel
Systems Integration Testing | Level? | "Testing conducted on multiple complete, integrated systems to evaluate their ability to communicate successfully with each other and to meet the overall integrated systems' specified requirements" (IEEE, 2017, p. 457) | Integration Testing | Large Scale Integration Testing (Gerrard, 2000a, p. 13) | 
Tailored Conformance Testing (implied by IEEE, 2021, p. 7) | Type (inferred from conformance testing) | Testing that "the chosen subset of requirements from the chosen (non-empty) set of techniques and corresponding test coverage measurement approaches have been satisfied", including justification and "rationale, including the consideration of any applicable risks" as to why "the normative requirements of a technique … or measure … are not followed completely" (IEEE, 2021, p. 7; may be specific to this) | Conformance Testing |  | Should "be agreed [upon] by the relevant stakeholders" (IEEE, 2021, p. 7)
Technical Reviews (Washizaki, 2024, p. 12-14) | Approach | The "systematic evaluation of a software product by a team of qualified personnel that examines the suitability of the software product for its intended use and identifies discrepancies from specifications and standards" (IEEE, 2017, p. 463; OG IEEE, 2008), often done "at logical transition points in a system life cycle" (IEEE, 2017, p. 463; OG IEEE, 2014) | Formal Reviews (Hamburg and Mogyorodi, 2024) |  | "Can … be more focused and address a specific project phase" (Washizaki, 2024, p. 12-14; OG [24]). More types given by Washizaki (2024, p. 12-14)
Technical Testing? (implied by "technical requirements"; IEEE, 2017, p. 463) | Approach | Testing "requirements relating to the technology and environment, for the development, maintenance, support and execution of the software" (IEEE, 2017, p. 463) | Non-functional Testing? |  | Includes the "programming language, testing tools, operating systems, database technology and user interface technologies" (IEEE, 2017, p. 463)
Template Variable Testing? (Doğan et al., 2014, Tab. 13; OG Sakamoto et al., 2013) |  | Testing that aims to "cover[] all the template variable [sic] in HTML pages" (Doğan et al., 2014, Tab. 13; OG Sakamoto et al., 2013) | Web Application Testing (Doğan et al., 2014, Tab. 13), HTML Testing |  | 
Test Browsing (Gerrard, 2000a, p. 12, Tab. 2; 2000b, Tab. 1) | Approach | Testing that "aims to address … faults that relate to the navigation through web pages, the availability of linked objects", download speeds, and "integration of web pages to server-based components" (Gerrard, 2000b, p. 9) | Integration Testing (partially) (Gerrard, 2000b, p. 9), Web Application Testing |  | 
Test Environment Testing (Firesmith, 2015, p. 25) | Technique? |  |  |  | 
Test Tool Testing (Firesmith, 2015, p. 25) | Technique? |  |  |  | 
Test-driven Development | Process | A development process where "developers write the tests before they develop their code" (Sangwan and LaPlante, 2006, p. 25), "think[ing] of ways to break [their code] through testing, and then add[ing] code to address that situation" (p. 26) | Developer Testing (Sangwan and LaPlante, 2006, p. 25), Robustness Testing, Fault Tolerance Testing (p. 26), Incremental Testing (p. 29) |  | Tends to focus on "low-level unit testing" (Sangwan and LaPlante, 2006, p. 25), contributing to "difficulty with integration and system-level testing, poor confidence in code quality despite high code coverage provided by unit tests that pass trivially, and increased effort in maintaining test code as ratio of test to production code goes up" (p. 28). However, it "can improve code quality" (p. 25), especially when "the quality of unit tests" is improved and continuous/automated testing (p. 28) and test frameworks are used, and tends to improve communication in an organization (p. 29)
Tester Testing (Firesmith, 2015, p. 39) | Practice? |  | Role-based Testing (Firesmith, 2015, p. 39) |  | 
TestUML Testing | Approach | Testing using "class and state diagrams via static and dynamic analysis of [the] web application[]" (so it doesn't require documentation (Kam, 2008, p. 12)) generated by WebUml "to define test cases and choose[] test paths based on random walk analysis" (p. 11; OG [4, 5]) | Web Application Testing, Formal Methods, Structure-based Testing, Control Flow Testing, Functional Testing (Kam, 2008, Tab. 1), Random Walk Testing? (Kam, 2008, p. 12), UML Testing |  | These "class and state diagrams" are generated using "UML and statecharts" and then "used as an oracle"; "can potentially be a complete testing method to perform fully automatic V&V processes", but cannot reveal "dead code or … Trojan horse program[s]" or "test problems such as uncontrolled flow transaction[s] and syntax error[s]" (Kam, 2008, p. 12)
TestWeb Testing | Approach |  | Web Application Testing, UML Testing, Structure-based Testing, Control Flow Testing, Functional Testing (Kam, 2008, Tab. 1) |  | 
Think Aloud Usability Testing | Approach, Technique? (Hamburg and Mogyorodi, 2024) | Testing "where test participants share their thoughts with the moderator and observers by thinking aloud while they solve usability test tasks" which helps the testers "understand the test participant" (Hamburg and Mogyorodi, 2024) | Usability Testing |  | 
Three-Value Boundary Testing | Technique (inferred from boundary value analysis and inclusion in IEEE, 2021, p. 13) | Testing "values on the boundary and an incremental ["the smallest significant value for the data type"] distance each side of the boundary of the equivalence partition" for "each boundary" (IEEE, 2021, p. 13) | Boundary Value Analysis (IEEE, 2021, p. 13) |  | "Can be required for certain circumstances", such as those requiring "rigorous testing" (IEEE, 2021, p. 13)
Threshold Coverage (Testing?) | Approach | Testing based on "the coverage of neurons exceeding a threshold activation value in a neural network for a set of tests" (Hamburg and Mogyorodi, 2024) | ML Model Testing |  | 
Top-Down (Integration) Testing | Level (inferred from integration testing) | Integration testing (Washizaki, 2024, p. 5-7; Kam, 2008, p. 48) that "starts with the highest-level component[s] … and proceeds through progressively lower-levels" (IEEE, 2017, p. 479) "with lower level components being simulated by stubs" (Kam, 2008, p. 48) | Integration Testing (Washizaki, 2024, p. 5-7; Sharma et al., 2021, p. 603; Kam, 2008, p. 48; Sangwan and LaPlante, 2006, p. 27), Incremental Testing (Kam, 2008, p. 48) |  | Difference between this as integration testing vs. not (as in Firesmith, 2015, p. 28)?
Tours | Practice (IEEE, 2022, p. 34) | Testing that is quite general and "guides testers through the paths of an application like a tour guide leads a tourist through the landmarks of a big city" (IEEE, 2022, p. 34), or that is exploratory yet "organized around a special focus" (Hamburg and Mogyorodi, 2024) | Exploratory Testing (IEEE, 2022, p. 34; Hamburg and Mogyorodi, 2024), Experience-based Testing (IEEE, 2022, p. 34; 2021, p. 4) |  | 
Transaction Flow Testing | Technique (inferred from scenario testing and IEEE, 2021, p. 20) |  | Scenario Testing (IEEE, 2021, p. 20) | Transaction Testing? (Gerrard, 2000a, Fig. 5) | See Beizer 1995
Transaction Testing | Approach | Testing that "addresses the integration of the browser pages, web server and other server-based components" (Gerrard, 2000b, p. 13) "to ensure that the entire transaction is processed correctly", including "the direct and indirect interfaces", and transfer of control and data (p. 16) | Dynamic Testing (Gerrard, 2000a, Fig. 5?, Tab. 2), Functionality Testing, System Testing, Functional Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Web Application Testing? (Kam, 2008, p. 9), W-Model Testing? (Gerrard, 2000a, Fig. 5), Integration Testing (2000b, pp. 13, 16), End-to-End Functionality Testing (p. 16) | Transaction Flow Testing? (Gerrard, 2000a, Fig. 5) | Should be automated if there are complex components or custom-built software involved (Gerrard, 2000b, p. 17)
Transaction Verification | Approach | Testing that "aims at ensuring that … the correct forms handler is invoked and that the parameters passed to the forms handler are correct" (Gerrard, 2000b, p. 11) | Smoke Testing, Test Browsing, Static Testing (Gerrard, 2000a, Tab. 2; 2000b, Tab. 1), Web Application Testing? (Kam, 2008, p. 9), Integration Testing (implied by Gerrard, 2000b, p. 16) | Transaction Flow Verification? (Gerrard, 2000a, Fig. 5) | "Not the same as Application System Testing"; "focuses … on selected test cases that exercise particular interfaces between components in the technical architecture and scenarios (in volumes) that System tests might not address" (Gerrard, 2000b, p. 16)
Translation Validation (Lahiri et al., 2013, p. 354; OG [26], [23], [18]) | Technique? |  | Equivalence Checking? (Lahiri et al., 2013, p. 354; OG [26], [23], [18]) |  | 
